Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
33918.0,435.0,0.0,0.0,9836.0,142.0,0.0
43754.0,577.0,0.0,0.0,10122.0,140.0,348.0
53876.0,717.0,348.0,0.0,12085.0,239.0,13.0
65961.0,956.0,361.0,0.0,18012.0,269.0,320.0
83973.0,1225.0,681.0,0.0,17894.0,378.0,188.0
101867.0,1603.0,869.0,0.0,19825.0,444.0,203.0
121692.0,2047.0,1072.0,0.0,19406.0,457.0,1593.0
141098.0,2504.0,2665.0,0.0,21035.0,515.0,2979.0
162133.0,3019.0,5644.0,0.0,26284.0,877.0,1380.0
188417.0,3896.0,7024.0,0.0,25190.0,974.0,1450.0
213607.0,4870.0,8474.0,0.0,30219.0,1179.0,527.0
243826.0,6049.0,9001.0,0.0,32110.0,1193.0,706.0
275936.0,7242.0,9707.0,0.0,33253.0,1325.0,4945.0
309189.0,8567.0,14652.0,0.0,28243.0,1229.0,2796.0
337432.0,9796.0,17448.0,0.0,29636.0,1283.0,2133.0
367068.0,11079.0,19581.0,0.0,29526.0,1949.0,2182.0
396594.0,13028.0,21763.0,0.0,32982.0,1971.0,1796.0
429576.0,14999.0,23559.0,0.0,32337.0,1750.0,1851.0
461913.0,16749.0,25410.0,0.0,35051.0,2099.0,3380.0
496964.0,18848.0,28790.0,0.0,29800.0,1835.0,2480.0
526764.0,20683.0,31270.0,0.0,28849.0,1620.0,1718.0
555613.0,22303.0,32988.0,500306.0,25263.0,1577.0,10494.0
580876.0,23880.0,43482.0,615609.0,27050.0,2286.0,4281.0
607926.0,26166.0,47763.0,534076.0,28891.0,2492.0,4333.0
636817.0,28658.0,52096.0,555929.0,31314.0,4561.0,2607.0
668131.0,33219.0,54703.0,580182.0,32048.0,3875.0,3842.0
700179.0,37094.0,58545.0,604388.0,32481.0,1830.0,6295.0
732660.0,38924.0,64840.0,628693.0,26832.0,2035.0,5497.0
759492.0,40959.0,70337.0,648088.0,25337.0,1495.0,1992.0
784829.0,42454.0,72329.0,669903.0,27743.0,2321.0,2875.0
812572.0,44775.0,75204.0,692217.0,28489.0,2189.0,2162.0
841061.0,46964.0,77366.0,716232.0,28795.0,3324.0,2837.0
869856.0,50288.0,80203.0,739013.0,36200.0,2021.0,18876.0
906056.0,52309.0,99079.0,754305.0,32960.0,1732.0,1293.0
939016.0,54041.0,100372.0,784027.0,27306.0,1191.0,6616.0
966322.0,55232.0,106988.0,803914.0,22580.0,1422.0,4436.0
988902.0,56654.0,111424.0,820407.0,24514.0,2081.0,4512.0
1013416.0,58735.0,115936.0,838291.0,27508.0,2503.0,4784.0
1040924.0,61238.0,120720.0,858222.0,29478.0,1753.0,33227.0
1070402.0,62991.0,153947.0,878169.0,34222.0,1962.0,10068.0
1104624.0,64953.0,164015.0,903178.0,28887.0,1454.0,11367.0
1133511.0,66407.0,175382.0,917894.0,25259.0,1375.0,4770.0
1158770.0,67782.0,180152.0,939851.0,22435.0,1279.0,7028.0
1181205.0,69061.0,187180.0,954281.0,24154.0,2074.0,2611.0
1205359.0,71135.0,189791.0,972526.0,24371.0,2319.0,119.0
1229730.0,73454.0,189910.0,987827.0,28377.0,2226.0,5126.0
1258107.0,75680.0,195036.0,1011058.0,27010.0,1527.0,3957.0
1285117.0,77207.0,198993.0,1027704.0,25880.0,1497.0,13541.0
1310997.0,78704.0,212534.0,1033324.0,19613.0,802.0,3635.0
1330610.0,79506.0,216169.0,1043141.0,18323.0,1191.0,16564.0
1348933.0,80697.0,232733.0,1051488.0,22255.0,1668.0,-2446.0
1371188.0,82365.0,230287.0,1057473.0,20723.0,1711.0,13143.0
1391911.0,84076.0,243430.0,1067859.0,27013.0,1786.0,2984.0
1418924.0,85862.0,246414.0,1085191.0,25117.0,1627.0,4333.0
1444041.0,87489.0,250747.0,1102212.0,25059.0,1142.0,17629.0
1469100.0,88631.0,268376.0,1111939.0,19071.0,860.0,3889.0
1488171.0,89491.0,272265.0,1122366.0,21694.0,839.0,10913.0
1509865.0,90330.0,283178.0,1135016.0,20406.0,1479.0,6214.0
1530271.0,91809.0,289392.0,1144851.0,23080.0,1499.0,4920.0
1553351.0,93308.0,294312.0,1162407.0,25471.0,1225.0,4106.0
1578822.0,94533.0,298418.0,1180548.0,23913.0,1251.0,51717.0
1602735.0,95784.0,350135.0,1195014.0,21352.0,1013.0,11104.0
1624087.0,96797.0,361239.0,1197128.0,20457.0,643.0,5497.0
1644544.0,97440.0,366736.0,1210704.0,19028.0,534.0,12421.0
1663572.0,97974.0,379157.0,1218472.0,18909.0,693.0,5745.0
1682481.0,98667.0,384902.0,1228728.0,18473.0,1460.0,6606.0
1700954.0,100127.0,391508.0,1234641.0,22632.0,1122.0,8483.0
1723586.0,101249.0,399991.0,1249340.0,24422.0,1170.0,6455.0
1748008.0,102419.0,406446.0,1267758.0,24222.0,918.0,10015.0
1772230.0,103337.0,416461.0,1284150.0,19561.0,479.0,28297.0
